City,Avg_Household_Size,Median_Age,Dependency_Ratio,Population,Pct_Single,Pct_Married,Pct_Divorced
"(1) 2000-2006 dönemi yıl sonu nüfusları, ADNKS sonuçlarına göre tahmin edilmiştir.",,,,,,,
(3) 2007-2025 dönemi için ADNKS sonuçlarıdır.,,,,,,,
(3) ABPRS results for the period 2007-2025.,,,,,,,
Adana,3.318457479998025,34.015534478659646,50.44699623329575,2283609.0,0.30521737821853695,0.6181218970642757,0.02872314665214697
Adıyaman,3.6555742063540686,29.899186513129198,64.97108288440798,617821.0,0.3550693401147294,0.5927361861789094,0.011284188617355306
Afyonkarahisar,3.180856717453653,36.00862166868564,52.33318351279228,751808.0,0.21778243843040998,0.6928751553284127,0.02118612329090731
Aksaray,3.304562681421645,33.05345181594803,55.412782503862935,441136.0,0.25137138930752906,0.667833375724606,0.028642580831299187
Amasya,2.8851410447827126,40.02265491060495,49.41221394866759,342242.0,0.23348269843226285,0.6750971138209766,0.016611731588134022
Ankara,2.91954218091997,35.93383819428382,41.14962171604593,5910320.0,0.26501661021606676,0.6522447308814332,0.03469160641056851
Antalya,2.938142238362362,36.4461267325435,44.49176597323669,2777677.0,0.24333627071101202,0.6763319246298404,0.03769007856652161
Ardahan,3.070442036761397,35.89090588649982,58.88505180069068,90392.0,0.3227604204775493,0.6068022731152899,0.008694909880246824
Artvin,2.792833489003991,41.88383115721695,51.39604424109234,167531.0,0.26563970253452723,0.6430338442859311,0.013643952041280922
Aydın,2.7579937365385696,39.948480050664976,46.46093456382845,1172107.0,0.23570664746769437,0.6635278640966866,0.0328019206030736
Ağrı,4.313437686658937,24.496350140458077,81.54116041842634,491489.0,0.3886777361870941,0.571510381674505,0.00359599449723262
Balıkesir,2.6114681302920815,42.258184084145384,45.046329201923726,1284517.0,0.2126853966594205,0.6811909413609972,0.030080625189180265
Bartın,2.795190102765903,41.39012512899897,47.10999466907904,206663.0,0.21405911745884787,0.6804566558198428,0.030082916933298842
Batman,4.606474239105918,25.394332622672867,86.40672897491231,662626.0,0.4136215377563074,0.5485075547876374,0.004174967823833284
Bayburt,3.242010075150714,32.777060816260686,59.60540844600929,82836.0,0.299987270181309,0.6283438505882994,0.00818345487279274
Bilecik,2.8419231374193887,37.12995476728961,43.64554035288064,228995.0,0.22496401127975232,0.6797233962834662,0.019483208550525533
Bingöl,3.4032716664820355,30.56452973428933,60.851216205846995,282299.0,0.40470289237039286,0.5488806589544422,0.00623350753573248
Bitlis,4.049989546795512,25.902716914986854,79.47670917948437,360423.0,0.3831170819849526,0.5778555896975204,0.002837979929969272
Bolu,2.828864925165009,38.35071869508403,46.79423499715007,327173.0,0.23044583130909227,0.6763238536567137,0.020539818378863185
Burdur,2.6655368735792253,39.687043422359885,47.76569835162896,277226.0,0.1946427298555034,0.7025905522234555,0.025401464313717502
Bursa,3.1171313550348443,36.31859920994223,43.99441934250223,3263011.0,0.24330233787452846,0.6744097856643653,0.024331487395493488
Denizli,2.8385950740215633,38.21741324838426,46.43249088150802,1060975.0,0.21534279716594948,0.6929089245395801,0.030432614811058575
Diyarbakır,4.169452907172034,26.252610403295336,72.48425964849304,1852356.0,0.4120290981334121,0.5482585435091167,0.006953409161459103
Düzce,3.0981839889405554,36.323182610478824,49.07258417745155,415622.0,0.245315485254735,0.6683739210165972,0.0224541646638742
Edirne,2.6241768173149125,41.434983950782396,39.572265934414105,422438.0,0.24758046434198766,0.6505364289465844,0.025029255572380282
Elazığ,3.131735947628108,35.20447889550019,52.64634796366436,605678.0,0.3257157176280278,0.6063410386124047,0.014737369652431293
Erzincan,2.863670124215649,35.576581269919096,51.43787187870106,239625.0,0.2874529721595184,0.6281289189867068,0.017463004765487837
Erzurum,3.4761361041333636,30.788267514964424,62.52510528691461,736877.0,0.33553881452723716,0.6023068293498748,0.007975060085425596
Eskişehir,2.615996201273167,38.193950046526744,40.486591879927744,927956.0,0.2613099483346894,0.6402095408383642,0.030922173894117923
Gaziantep,3.7746154628633226,27.03935328115526,66.08887753255188,2222415.0,0.28807106477285915,0.6542257282787046,0.01804909438062386
Giresun,2.59727201189123,42.85765718587373,54.99025522041764,455074.0,0.2572709992044261,0.6414542605717201,0.022194083602067278
Gümüşhane,2.930471441717135,36.654149764280234,57.588204825517664,138807.0,0.2827201738441698,0.6379024969790513,0.013688197483727495
Hakkari,4.445750131038331,26.343846546087164,78.66027806370239,279681.0,0.4782412210630836,0.4917477674735375,0.0023486878536557424
Hatay,3.312340195299887,31.811011991243873,55.772132980486674,1577531.0,0.30370874239824563,0.6330730885204625,0.019604658009888625
Isparta,2.746273497398908,38.22040643522438,42.946395739986656,445303.0,0.24072739299878,0.6736497892270201,0.021848000074886034
Iğdır,3.796875,28.00154362779613,67.38702254947077,205071.0,0.37737803261301867,0.5648034601617393,0.014815060320827257
Kahramanmaraş,3.387799127848745,31.42371920957678,60.964813877012034,1146278.0,0.2775764720922139,0.6646477702889854,0.016080623282174387
Karabük,2.669447151891561,38.938424759320284,45.1060748967148,249614.0,0.22886110093769801,0.6736136544643844,0.022608230581861094
Karaman,2.9545105905953153,35.11475720789074,55.48195837288322,262355.0,0.23918337431435596,0.6789590032154341,0.021698269339890296
Kars,3.581392489789228,29.695614973262032,61.18215563483172,268991.0,0.35638278029582376,0.58741816350512,0.007516833603790125
Kastamonu,2.740011891042815,42.85517777862103,53.26375421047259,379934.0,0.2158657592602213,0.6718755952690183,0.020679862157341508
"Kaynak: TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları (ADNKS), 2008-2025",,,,,,,
"Kaynak: TÜİK, Nüfus tahminleri, 2000-2006, Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS), 2007-2025",,,,,,,
Kayseri,3.1908243370300307,34.4109933063969,51.711475683073274,1458991.0,0.24471806368619262,0.6840020134978932,0.019233099668145716
Kilis,3.316890712488382,28.075940913019565,65.95729776681891,157363.0,0.28051577329397126,0.6442286578671286,0.016371044477517263
Kocaeli,3.215544633493512,34.021675590993055,44.39675602721788,2161171.0,0.2669448116695422,0.6642425328822066,0.02190235048959197
Konya,3.2463237736524837,33.37850361946747,52.998536461172485,2343409.0,0.2424173669467787,0.6824187675070028,0.020292016806722688
Kütahya,2.775871343604734,39.77725762609484,43.254236955476394,570478.0,0.20513905844821287,0.7012560261631274,0.019510956255179603
Kırklareli,2.687891362872399,41.14114652727956,41.59896665420307,379595.0,0.25166057276624426,0.6473316688348631,0.025612500407669256
Kırıkkale,2.8524221398472895,37.95284188955996,47.542830667495025,282830.0,0.248575391767264,0.6648187373472295,0.025821024218339955
Kırşehir,2.9360278675536664,37.89487951807229,48.30345157560373,242777.0,0.2414741087234317,0.6646678155664193,0.027128102322418787
Malatya,3.126467270343608,35.553690640543145,54.33751987825105,755854.0,0.30667313577666644,0.6253153691124879,0.015747928640740465
Manisa,2.938504290968533,37.82708623055169,45.384692487231256,1477756.0,0.22608519146457579,0.6816631153062815,0.02514225870442843
Mardin,4.3576935529564125,25.420335416236316,81.3574242497933,903576.0,0.4215864141266567,0.5378155841550478,0.005715295010401357
Mersin,3.113705689500389,35.41567994005415,47.871713525413426,1956428.0,0.28750140353513565,0.631648218797831,0.031941504876704184
Muğla,2.7212432503621757,40.212929809605,43.55178990995177,1099547.0,0.23222016527540798,0.6763160565912792,0.037416560731220426
Muş,4.338953268533553,24.756972957666715,82.86022213303632,389127.0,0.3990341245232511,0.5634133754033223,0.0035035014034984664
Nevşehir,3.0107199221813055,36.19528314698293,53.358121094969256,320150.0,0.20374285003730416,0.7038098062097067,0.02571117020259025
Niğde,3.103797295217904,34.089795418351095,58.16964477317272,374492.0,0.24884199371634125,0.6731338402758518,0.018466009048799772
Ordu,2.7718328816457194,41.050381940691096,54.04652344582708,768087.0,0.23933642321305837,0.6764024831753476,0.017589158712247907
Osmaniye,3.274083569550015,32.9120537809558,55.977806019652206,564123.0,0.2913327538172804,0.6472559505343117,0.015901879536428114
Rize,2.967359128409031,39.76993472417765,49.79230510545785,346947.0,0.28961931639500266,0.6251689816989247,0.014331281728738937
Sakarya,3.195892960393177,35.540553285130464,48.20462772375612,1123693.0,0.2595568894374011,0.6579372202899635,0.02170518717977486
Samsun,3.042021621252941,38.30469228612666,50.607166885415864,1392403.0,0.256551371448115,0.6605985540536021,0.020984672018747028
Siirt,4.473785192341711,24.50127276584139,88.27449916689271,332369.0,0.39294421339452174,0.5661322242937042,0.003619675892729098
Sinop,2.672588092345079,43.39140514750353,57.680081378345726,225848.0,0.2347537396487654,0.6541351492401235,0.024170172096152517
Sivas,3.128700848499506,36.385140812945664,54.61385524808628,631401.0,0.27437190450892013,0.6451838871656013,0.016709225206080446
"Source: TurkStat, Population Estimates, 2000-2006, Address Based Population Registration System (ABPRS), 2007-2025",,,,,,,
"Source: TurkStat, The Results of Address Based Population Registration System (ABPRS), 2008-2025",,,,,,,
Tekirdağ,3.0450874723722166,35.60595720555194,41.16420409618754,1208441.0,0.24559580314763926,0.6750853526521775,0.02466316928969939
Tokat,3.0475250917738443,39.36750965491466,53.5870345168873,614141.0,0.24439826038438497,0.6692848847645225,0.0156163157086598
Trabzon,2.9167653076136197,38.65846591507744,49.66160026999226,823323.0,0.30271714149429774,0.6189965743029356,0.014799011317809288
Tunceli,2.6297234948175587,39.87218045112782,39.59925566558118,85083.0,0.4209063108145677,0.5044620517097581,0.017319988879621908
"TurkStat, The Results of Address Based Population Registration System, 2025",,,,,,,
"TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları, 2025",,,,,,,
Uşak,2.8141801518194294,38.930366784583875,47.66012736826754,374405.0,0.20282911949226448,0.6973026550848467,0.03391562585240479
Van,4.273060108865301,25.534027194734758,83.19791458240223,1112013.0,0.3834302785254356,0.5803313196164813,0.0029296094590849347
Yalova,2.927384652163519,37.15445814895019,45.363372441757235,311635.0,0.26048026048026046,0.6362450013243665,0.04226343908883592
Yozgat,2.9368586234581415,37.78980764335842,56.08263901883609,413208.0,0.2473478899353061,0.6715607618118831,0.018248671818743657
Zonguldak,2.76732091849804,41.65833653722927,42.15547107796635,585203.0,0.24856458592441077,0.6522155639383692,0.03557647832745737
Çanakkale,2.5446160506724644,41.66304398094621,41.82125793806817,573976.0,0.23038696454505314,0.6673243268766925,0.024548677490409475
Çankırı,2.81365318947459,40.061192341869294,55.03287539423744,200549.0,0.2147772913123711,0.686391431776242,0.019046929840431305
Çorum,2.8186808370768053,40.86902250821029,53.83074443797843,519590.0,0.21459143781535261,0.6933352270538844,0.019636116781573777
İstanbul,3.1521240535510673,34.51771124343605,43.07840375490694,15754053.0,0.2878067010589557,0.6334082161711796,0.034499294392026925
İzmir,2.7904717023472916,38.96431033411539,40.227613044324464,4504185.0,0.25913131269521555,0.6367693480278769,0.045808916689775644
Şanlıurfa,4.671085076182186,21.44432399331358,85.39627551771862,2265800.0,0.39704799808980346,0.5642562172166368,0.007037797904285509
Şırnak,4.858941633820094,23.00607020321985,93.68702858739175,573666.0,0.45735528323776337,0.5104683413240633,0.003272526165655524
