City,Marital_Total_Pop,Never_Married,Married,Divorced,Widowed,Pct_Married,Pct_Divorced,Pct_Never_Married,Pct_Widowed,Ever_Married_Pop,Pct_Divorced_Ever_Married
Tunceli,74550,22806,42030,4576,5138,0.5637826961770623,0.06138162307176392,0.3059154929577465,0.06892018779342723,51744,0.08843537414965986
Şanlıurfa,1402283,498327,834112,23534,46310,0.5948242972352942,0.01678263232172108,0.3553683528931036,0.03302471754988116,903956,0.02603445300434977
Uşak,310955,72366,198863,18380,21346,0.639523403707932,0.059108231094531366,0.23272177646283224,0.06864658873470438,238589,0.07703624224084095
Van,782231,286123,458209,9422,28477,0.5857719778428623,0.012045035290086943,0.3657781397055346,0.03640484716151623,496108,0.018991832423585188
Yozgat,339502,87265,213956,12720,25561,0.6302054185247804,0.037466642317276484,0.2570382501428563,0.0752896890150868,252237,0.05042876342487423
Zonguldak,498093,125324,309590,25841,37338,0.6215505939653839,0.051879869823506855,0.25160763150656607,0.07496190470454313,372769,0.06932175154049827
Aksaray,340235,89002,216365,16044,18824,0.6359281085132334,0.04715564242361897,0.26158978353197054,0.05532646553117698,251233,0.06386103736372212
Bayburt,68572,23690,39226,1497,4159,0.5720410663244473,0.021831068074432712,0.3454762876976025,0.06065157790351747,44882,0.03335412860389466
Karaman,210259,56485,130076,10745,12953,0.6186465264269306,0.051103638845423974,0.2686448618132874,0.06160497291435801,153774,0.0698752715023346
Kırıkkale,235542,63810,142216,12565,16951,0.6037819157517555,0.05334505098878332,0.27090709937081286,0.0719659338886483,171732,0.07316632893112524
Batman,454214,177952,255061,6191,15010,0.5615436776497422,0.013630139097429847,0.39178008603873943,0.033046097214088514,276262,0.022409886267383862
Şırnak,380405,166409,199809,3648,10539,0.5252533484049894,0.009589779314152022,0.4374521891142335,0.027704683166625044,213996,0.017047047608366513
Bartın,176420,43554,111099,8023,13744,0.6297415259040925,0.045476703321618864,0.2468767713411178,0.07790499943317085,132866,0.060384146433248534
Ardahan,74469,21560,45378,1870,5661,0.6093542279337711,0.025111120063382078,0.2895164430836993,0.07601820891914757,52909,0.03534370333969646
Iğdır,152609,53597,87242,4658,7112,0.5716700849884345,0.030522446251531693,0.35120471269715414,0.04660275606287965,99012,0.04704480265018381
Yalova,250462,69613,149649,16011,15189,0.597491835088756,0.06392586500147728,0.27793836989243875,0.06064393001732798,180849,0.08853242207587546
Karabük,213197,63026,124812,9684,15675,0.5854303766000459,0.04542277799406183,0.2956232967630877,0.07352354864280454,150171,0.06448648540663643
Kilis,115100,35093,70090,3673,6244,0.6089487402258905,0.03191138140747176,0.3048913987836664,0.054248479582971326,80007,0.045908483007736825
Osmaniye,427595,120205,268441,15899,23050,0.6277926542639647,0.03718238052362633,0.2811188157017739,0.05390614951063506,307390,0.0517225674224926
Düzce,333409,88600,207338,15733,21738,0.6218728348664853,0.0471882882585653,0.2657396770932998,0.06519919978164956,244809,0.0642664281133455
Adana,1743190,503762,1045322,97420,96686,0.599660392728274,0.05588604799247357,0.28898857841084447,0.05546498086840792,1239428,0.07860077390538216
Adıyaman,440213,134385,274998,9370,21460,0.6246930463207584,0.02128515059755164,0.3052726748187809,0.04874912826290909,305828,0.030638136468864853
Afyonkarahisar,597939,143934,388885,22994,42126,0.6503757072209707,0.03845542772757756,0.24071686242242102,0.07045200262903072,454005,0.05064701930595478
Ağrı,347738,125193,204261,4157,14127,0.5873991338306426,0.011954402452421076,0.36002105033099635,0.04062541338593999,222545,0.018679368217663844
Amasya,280984,65754,181740,10542,22948,0.6467983942146172,0.03751815049967258,0.23401332460211258,0.08167013068359764,215230,0.04898016075825861
Ankara,4693594,1337167,2837059,280714,238654,0.6044534316346919,0.059807899873742805,0.28489191864485935,0.05084674984670596,3356427,0.08363476995030728
Antalya,2159717,592681,1313092,154227,99717,0.60799262125547,0.07141074501890757,0.27442530664897297,0.04617132707664939,1567036,0.09841956406872593
Artvin,146062,38629,90451,4445,12537,0.6192644219577987,0.030432282181539348,0.2644698826525722,0.08583341320808971,107433,0.041374624184375375
Aydın,952792,227983,592298,62518,69993,0.6216445981914206,0.06561558031553581,0.2392788772365847,0.07346094425645891,724809,0.08625444772346921
Balıkesir,1071553,233602,684640,63794,89517,0.6389231330601473,0.05953415276705865,0.21800321589319427,0.08353949827959979,837951,0.0761309432174435
Bilecik,186602,47826,117850,7737,13189,0.6315580754761471,0.041462578107415785,0.25629950375665855,0.07067984265977857,138776,0.05575171499394708
Bingöl,214336,73828,127290,3248,9970,0.5938806360107495,0.015153777246939384,0.3444498357718722,0.04651575097043894,140508,0.023116121501978535
Bitlis,250448,89653,148583,2359,9853,0.5932688621989395,0.009419120935283971,0.3579705168338338,0.039341500031942755,160795,0.014670854193227402
Bolu,271235,72437,168618,11297,18883,0.6216675576529578,0.041650229505779124,0.2670636164211846,0.06961859642007853,198798,0.05682652742985342
Burdur,233087,58793,146243,10031,18020,0.6274180885248856,0.04303543312153831,0.25223628945415233,0.07731018889942382,174294,0.0575521819454485
Bursa,2558788,648877,1633937,123467,152507,0.6385589583818589,0.04825214124812216,0.2535876360214289,0.05960126434859003,1909911,0.06464542065049105
Çanakkale,483824,116633,301774,26546,38871,0.6237268097489996,0.05486705909586957,0.24106493270280102,0.08034119845232977,367191,0.07229480025381886
Çankırı,171406,40023,112123,5587,13673,0.65413696136658,0.03259512502479493,0.2334982439354515,0.07976966967317363,131383,0.042524527526392304
Çorum,435108,95302,286776,17562,35468,0.6590915358945365,0.04036239278523953,0.21903067744100316,0.08151539387922078,339806,0.051682430563321426
Denizli,861333,206116,548494,49854,56869,0.6367966860668289,0.05788005335915378,0.23929885421782285,0.06602440635619442,655217,0.07608776939548272
Diyarbakır,1254800,461909,725654,21818,45419,0.5783025183296143,0.017387631495058974,0.3681136436085432,0.03619620656678355,792891,0.02751702314693949
Edirne,359441,90725,220050,18219,30447,0.6122006115050871,0.05068703904117783,0.2524058190356693,0.08470653041806583,268716,0.06780020542133702
Elazığ,478805,145753,288822,15696,28534,0.6032142521485783,0.03278161255625985,0.30440993723958604,0.05959419805557586,333052,0.04712777584281133
Erzincan,199441,60336,118493,7225,13387,0.5941255809988919,0.03622625237538921,0.30252555893722954,0.06712260768848932,139105,0.05193918263182488
Erzurum,572103,187669,339161,11120,34153,0.5928320599612308,0.019437059410630602,0.32803358835734125,0.05969729227079739,384434,0.028925641332452384
Eskişehir,759724,206848,454883,45995,51998,0.5987477031132359,0.060541723046790674,0.2722672970710416,0.06844327676893187,552876,0.08319225287406218
Gaziantep,1513996,449834,951392,50520,62250,0.6283979614212983,0.033368648265913514,0.29711703333430206,0.04111635697848607,1064162,0.04747397482714098
Giresun,391177,96132,244407,16539,34099,0.6247990040314231,0.042280093154761146,0.24575064484875134,0.0871702579650644,295045,0.05605585588639021
Gümüşhane,124642,40121,73076,3091,8354,0.5862871263298086,0.024799024405898495,0.3218898926525569,0.06702395661173602,84521,0.036570793057346694
Hakkari,212216,97223,107670,1503,5820,0.5073604252271271,0.007082406604591548,0.4581322803181664,0.027424887850114977,114993,0.013070360804570713
Hatay,1148762,330180,715248,42698,60636,0.6226250520125144,0.037168708574970274,0.28742246000477034,0.052783779407745035,818582,0.05216093195306029
Isparta,371683,99571,230987,15627,25498,0.6214623751960676,0.042043892241506876,0.26789226303059327,0.06860146953183223,272112,0.057428558828717585
Mersin,1516543,421986,921586,89491,83480,0.6076886708784387,0.05900986651878648,0.2782552159747531,0.05504624662802176,1094557,0.0817600179798768
İstanbul,12524750,4002364,7263025,705408,553953,0.5798938102556938,0.05632112417413521,0.319556398331304,0.044228667238867043,8522386,0.08277118637902578
